key,scenario_id,family,method,budget,model_key,model,selected_turn_ids,context_tokens,build_latency_s,summarized_turn_ids,stale_superseder_missing,context_precision,context_recall,context_f1,context_sufficiency,irrelevant_context_ratio,n_selected,n_evidence,n_distractors_selected,selected_turn_tokens,model_reported,input_tokens,output_tokens,answer_latency_s,stop_reason,usd,ts,checklist_score,all_required_satisfied,distractor_leakage,judge_model,judge_input_tokens,judge_output_tokens,method_label
two_branch_join_005|semantic_retrieval|2048|us.anthropic.claude-haiku-4-5-20251001-v1:0,two_branch_join_005,two_branch_join,semantic_retrieval,2048.0,response_b,us.anthropic.claude-haiku-4-5-20251001-v1:0,"['t1', 't2', 't3', 't4', 't5', 't6', 't7', 't8']",1091,0.0014,[],[],0.75,1.0,0.8571428571428571,1,0.22548120989917506,8,6,2,1091,anthropic.claude-haiku-4-5-20251001-v1:0,1318,270,3.635,end_turn,0.002668,1789265857.863467,1.0,1,0,us.anthropic.claude-opus-4-6-v1,1094,234,semantic_retrieval@2048
two_branch_join_005|oracle_dag|-|us.anthropic.claude-haiku-4-5-20251001-v1:0,two_branch_join_005,two_branch_join,oracle_dag,,response_b,us.anthropic.claude-haiku-4-5-20251001-v1:0,"['t1', 't2', 't4', 't5', 't6', 't8']",845,0.0009,[],[],1.0,1.0,1.0,1,0.0,6,6,0,845,anthropic.claude-haiku-4-5-20251001-v1:0,1050,202,4.803,end_turn,0.00206,1789265862.669208,1.0,1,0,us.anthropic.claude-opus-4-6-v1,1026,237,oracle_dag
two_branch_join_005|oracle_dag|-|us.anthropic.claude-sonnet-4-6,two_branch_join_005,two_branch_join,oracle_dag,,response_a,us.anthropic.claude-sonnet-4-6,"['t1', 't2', 't4', 't5', 't6', 't8']",845,0.0012,[],[],1.0,1.0,1.0,1,0.0,6,6,0,845,claude-sonnet-4-6,1051,188,4.75,end_turn,0.005973,1789265862.966079,1.0,1,0,global.anthropic.claude-opus-4-6-v1,1012,250,oracle_dag
two_branch_join_006|full_history|-|us.anthropic.claude-sonnet-4-6,two_branch_join_006,two_branch_join,full_history,,response_a,us.anthropic.claude-sonnet-4-6,"['t1', 't2', 't3', 't4', 't5', 't6', 't7', 't8']",1033,0.0016,[],[],0.75,1.0,0.8571428571428571,1,0.271055179090029,8,6,2,1033,claude-sonnet-4-6,1259,270,5.634,end_turn,0.007827,1789265868.3062851,1.0,1,0,us.anthropic.claude-opus-4-6-v1,1145,235,full_history
two_branch_join_005|semantic_retrieval|1024|us.anthropic.claude-haiku-4-5-20251001-v1:0,two_branch_join_005,two_branch_join,semantic_retrieval,1024.0,response_b,us.anthropic.claude-haiku-4-5-20251001-v1:0,"['t1', 't2', 't4', 't5', 't6', 't7', 't8']",974,0.0011,[],[],0.8571428571428571,1.0,0.923076923076923,1,0.1324435318275154,7,6,1,974,anthropic.claude-haiku-4-5-20251001-v1:0,1187,262,6.015,end_turn,0.002497,1789265869.7542331,1.0,1,0,us.anthropic.claude-opus-4-6-v1,1086,235,semantic_retrieval@1024
two_branch_join_006|sliding_window|1024|us.anthropic.claude-sonnet-4-6,two_branch_join_006,two_branch_join,sliding_window,1024.0,response_a,us.anthropic.claude-sonnet-4-6,"['t2', 't3', 't4', 't5', 't6', 't7', 't8']",890,0.002,[],[],0.7142857142857143,0.8333333333333334,0.7692307692307692,0,0.3146067415730337,7,6,2,890,claude-sonnet-4-6,1107,275,9.535,end_turn,0.007446,1789265872.50452,0.75,0,0,us.anthropic.claude-opus-4-6-v1,1150,283,sliding_window@1024
two_branch_join_005|oracle_tree|-|us.anthropic.claude-haiku-4-5-20251001-v1:0,two_branch_join_005,two_branch_join,oracle_tree,,response_b,us.anthropic.claude-haiku-4-5-20251001-v1:0,"['t1', 't2']",266,0.0007,[],[],1.0,0.3333333333333333,0.5,0,0.0,2,6,0,266,anthropic.claude-haiku-4-5-20251001-v1:0,404,284,8.72,end_turn,0.001824,1789265875.434462,0.6666666666666666,0,0,us.anthropic.claude-opus-4-6-v1,1108,254,oracle_tree
two_branch_join_006|rolling_summary|2048|us.anthropic.claude-sonnet-4-6,two_branch_join_006,two_branch_join,rolling_summary,2048.0,response_a,us.anthropic.claude-sonnet-4-6,"['t1', 't2', 't3', 't4', 't5', 't6', 't7', 't8']",1033,0.0017,[],[],0.75,1.0,0.8571428571428571,1,0.271055179090029,8,6,2,1033,claude-sonnet-4-6,1259,248,10.412,end_turn,0.007497,1789265882.9194071,1.0,1,0,us.anthropic.claude-opus-4-6-v1,1123,241,rolling_summary@2048
two_branch_join_006|sliding_window|2048|us.anthropic.claude-sonnet-4-6,two_branch_join_006,two_branch_join,sliding_window,2048.0,response_a,us.anthropic.claude-sonnet-4-6,"['t1', 't2', 't3', 't4', 't5', 't6', 't7', 't8']",1033,0.0018,[],[],0.75,1.0,0.8571428571428571,1,0.271055179090029,8,6,2,1033,claude-sonnet-4-6,1259,248,7.91,end_turn,0.007497,1789265889.008651,1.0,1,0,us.anthropic.claude-opus-4-6-v1,1123,241,sliding_window@2048
two_branch_join_006|oracle_tree|-|us.anthropic.claude-sonnet-4-6,two_branch_join_006,two_branch_join,oracle_tree,,response_a,us.anthropic.claude-sonnet-4-6,"['t1', 't4']",277,0.0005,[],[],1.0,0.3333333333333333,0.5,0,0.0,2,6,0,277,claude-sonnet-4-6,430,235,5.766,end_turn,0.004815,1789265894.776544,0.75,0,0,us.anthropic.claude-opus-4-6-v1,1110,267,oracle_tree
