,Opus 4.6 (reference),DeepSeek V3.2,Kimi K2.5,Llama 4 Maverick,Mistral Large 3,gpt-oss-120b (Bedrock),GPT-5 Mini (OpenAI API),GPT-5 Nano (OpenAI API),GPT-5.4 Mini (OpenAI API),GPT-5.4 Nano (OpenAI API)
oracle_dag,0.8645,0.7576,0.75,0.8687,0.7172,0.7576,0.75,0.7652,0.7172,0.6843
semantic_retrieval@1024,0.8411,0.8438,0.8438,0.8549,0.7812,0.8047,0.7812,0.776,0.7344,0.8411
full_history,0.8383,0.8464,0.8646,0.8474,0.8359,0.8542,0.8646,0.8568,0.7656,0.8229
oracle_tree,0.7906,0.6779,0.6745,0.7919,0.6882,0.7069,0.7333,0.7096,0.6422,0.6348
sliding_window@1024,0.6599,0.5805,0.546,0.681,0.569,0.5862,0.5833,0.5776,0.5316,0.5086
