family,3,5,10,15,20,uncapped
ambiguous_reference,0.125,0.75,1.0,1.0,1.0,1.0
compound_turn,0.0,0.4,1.0,1.0,1.0,1.0
constraint_retention,0.0,0.333,0.917,1.0,1.0,1.0
continuation,0.0,0.3,1.0,1.0,1.0,1.0
join_then_split,0.4,0.4,1.0,1.0,1.0,1.0
knowledge_update,0.0,0.0,0.917,1.0,1.0,1.0
long_noisy_side_thread,0.3,0.8,1.0,1.0,1.0,1.0
new_root,1.0,1.0,1.0,1.0,1.0,1.0
resume,0.0,0.267,1.0,1.0,1.0,1.0
semantic_decoy,0.083,0.25,1.0,1.0,1.0,1.0
three_way_join,0.0,0.0,0.75,0.875,0.875,0.875
topic_fork,0.0,0.1,1.0,1.0,1.0,1.0
two_branch_join,0.0,0.133,1.0,1.0,1.0,1.0
