key,scenario_id,family,model_key,method_label,context_tokens,context_precision,irrelevant_context_ratio,output_tokens,checklist_opus,leakage_opus,checklist_llama,leakage_llama
semantic_decoy_009|rolling_summary|1024|us.anthropic.claude-haiku-4-5-20251001-v1:0,semantic_decoy_009,semantic_decoy,response_b,rolling_summary@1024,742,0.42857142857142855,0.5539083557951483,138,1.0,0.0,1.0,0.0
semantic_decoy_009|semantic_retrieval|1024|us.anthropic.claude-haiku-4-5-20251001-v1:0,semantic_decoy_009,semantic_decoy,response_b,semantic_retrieval@1024,742,0.42857142857142855,0.5539083557951483,138,1.0,0.0,1.0,0.0
semantic_decoy_009|semantic_retrieval|1024|us.anthropic.claude-sonnet-4-6,semantic_decoy_009,semantic_decoy,response_a,semantic_retrieval@1024,742,0.42857142857142855,0.5539083557951483,204,0.75,0.0,1.0,0.0
semantic_decoy_009|semantic_retrieval|2048|us.anthropic.claude-haiku-4-5-20251001-v1:0,semantic_decoy_009,semantic_decoy,response_b,semantic_retrieval@2048,742,0.42857142857142855,0.5539083557951483,138,1.0,0.0,1.0,0.0
semantic_decoy_009|rolling_summary|2048|us.anthropic.claude-haiku-4-5-20251001-v1:0,semantic_decoy_009,semantic_decoy,response_b,rolling_summary@2048,742,0.42857142857142855,0.5539083557951483,138,1.0,0.0,1.0,0.0
semantic_decoy_009|rolling_summary|1024|us.anthropic.claude-sonnet-4-6,semantic_decoy_009,semantic_decoy,response_a,rolling_summary@1024,742,0.42857142857142855,0.5539083557951483,204,0.75,0.0,1.0,0.0
semantic_decoy_009|oracle_tree|-|us.anthropic.claude-haiku-4-5-20251001-v1:0,semantic_decoy_009,semantic_decoy,response_b,oracle_tree,331,1.0,0.0,132,1.0,0.0,1.0,0.0
semantic_decoy_010|full_history|-|us.anthropic.claude-sonnet-4-6,semantic_decoy_010,semantic_decoy,response_a,full_history,1123,0.5,0.4772929652715939,321,0.5,1.0,0.5,1.0
semantic_decoy_010|sliding_window|1024|us.anthropic.claude-sonnet-4-6,semantic_decoy_010,semantic_decoy,response_a,sliding_window@1024,937,0.4,0.5720384204909285,302,1.0,0.0,0.5,0.0
semantic_decoy_009|oracle_dag|-|us.anthropic.claude-haiku-4-5-20251001-v1:0,semantic_decoy_009,semantic_decoy,response_b,oracle_dag,331,1.0,0.0,132,1.0,0.0,1.0,0.0
semantic_decoy_010|rolling_summary|2048|us.anthropic.claude-sonnet-4-6,semantic_decoy_010,semantic_decoy,response_a,rolling_summary@2048,1123,0.5,0.4772929652715939,311,1.0,1.0,1.0,1.0
semantic_decoy_010|sliding_window|2048|us.anthropic.claude-sonnet-4-6,semantic_decoy_010,semantic_decoy,response_a,sliding_window@2048,1123,0.5,0.4772929652715939,300,0.75,1.0,0.25,1.0
semantic_decoy_010|semantic_retrieval|2048|us.anthropic.claude-sonnet-4-6,semantic_decoy_010,semantic_decoy,response_a,semantic_retrieval@2048,1123,0.5,0.4772929652715939,311,1.0,1.0,1.0,1.0
semantic_decoy_010|semantic_retrieval|1024|us.anthropic.claude-sonnet-4-6,semantic_decoy_010,semantic_decoy,response_a,semantic_retrieval@1024,932,0.6,0.3701716738197425,303,1.0,0.0,1.0,1.0
semantic_decoy_010|full_history|-|us.anthropic.claude-haiku-4-5-20251001-v1:0,semantic_decoy_010,semantic_decoy,response_b,full_history,1123,0.5,0.4772929652715939,290,1.0,0.0,1.0,0.0
semantic_decoy_010|sliding_window|1024|us.anthropic.claude-haiku-4-5-20251001-v1:0,semantic_decoy_010,semantic_decoy,response_b,sliding_window@1024,937,0.4,0.5720384204909285,235,1.0,0.0,1.0,0.0
semantic_decoy_010|rolling_summary|1024|us.anthropic.claude-sonnet-4-6,semantic_decoy_010,semantic_decoy,response_a,rolling_summary@1024,1076,0.4,0.5720384204909285,300,1.0,0.0,1.0,0.0
